gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO2088,12.377481688183,12.0785956034961,12.236844692079,11.9805958034315,11.7699755513603,11.7670579286043,11.6470086384416,11.5801538612515,11.4235244816189
SCO2089,10.3613346046847,10.1548181090521,10.2911706993219,10.5054807743604,10.3084654437247,10.0791884512714,10.0543782079311,10.1124395067816,10.052266137014
SCO2090,9.09539702279256,8.90321238166807,9.11663276016565,8.57826784814715,8.51131341033549,8.6204234953096,8.50250034052918,8.61020461818299,8.38897397970439
SCO2091,8.59867288075206,8.32717835557457,7.77258950389693,7.99089184823123,7.83499767712673,7.77185624083622,7.78717704011997,7.79152469295588,7.78026634853039
SCO2092,10.2040276539279,9.71577137189708,9.51756003920884,8.90672360735196,9.15059352319038,8.82017896241519,8.9614496943982,8.87019344932252,8.76928688122408
SCO2093,11.0543028300455,10.4245162451669,9.96930656927704,9.72299722218828,9.55010544505666,9.52279946101973,9.42019417266486,9.48717010344608,9.56985560833095
SCO2094,12.5215186519723,12.2679570844028,12.1937991166768,12.2035349389109,12.0202855008446,12.0716113320483,12.0191659804003,11.9318455401837,12.0829990877706
SCO2095,10.4680583023355,10.2021238238305,9.99112812966333,10.1944832799375,10.1029963254247,10.1338557467348,10.0396045179538,10.1779731431537,10.2070143201775
SCO2096,10.8912774056027,10.6518489805283,10.788174535081,10.7041438104094,10.635718120331,10.6965812107839,10.632995197143,10.7646873267291,10.8529629203609
SCO2097,13.3843940391159,13.5216004397237,13.6101405220477,13.8081374219634,13.8818468512374,14.0052346632253,13.957888004307,13.8244063351394,13.8440954688726
SCO2098,8.95451945856627,8.4378676404769,8.05166211982249,8.42019417266486,8.41621109003817,8.40419543356744,8.12297175396686,8.38897397970439,8.46079716066153
SCO2099,2.78427130894456,2.50250034052918,3.65025396097288,2,3.53051471669878,2.95935801550265,2.78427130894456,2.50250034052918,2.55799545312089
