"gene","ds1_PM","ds1_MM","ds1_BN","ds1_SN","ds1_PMN","ds2_PM","ds2_MM","ds2_BN","ds2_SN","ds2_PMN","ds1_cluster","ds2_cluster","ds1_var","ds2_var","ds1_median","ds2_median"
"ENSG00000107201",-0.9177519998,-0.8297274936,-0.5977426512,0.7471972605,1.5980248841,-0.7333582724,-1.2550353245,-0.2689235318,1.4940431582,0.7632739705,"ds1_2","ds2_2",74.7614917606,80.9771610292,25.7588898526,29.0257299798
"ENSG00000107738",-1.1184598288,-0.7033020481,-0.3813573302,0.517559044,1.6855601631,-1.5604157162,-0.5059441413,-0.0534614261,0.8875098629,1.2323114207,"ds1_2","ds2_2",97.2246313964,90.5464006938,96.0682278115,52.9343740966
"ENSG00000107745",-1.8653314359,-0.1683061519,0.8890996518,0.7251250103,0.4194129256,-1.9318104653,0.3339363891,0.9258671311,0.144211655,0.52779529,"ds1_2","ds2_2",38.5082393755,24.0531945649,66.5221162186,55.9121133276
"ENSG00000108061",-1.2258824991,-0.6854260464,-0.275512136,0.5640692648,1.6227514168,-0.9910137511,0.6304958384,-1.4149780727,0.7428155955,1.0326803899,"ds1_2","ds2_2",80.5435096849,2.0526163631,80.6591500434,43.2205839838
"ENSG00000108424",-0.8322833937,-0.7210740873,-0.7060702754,0.522954294,1.7364734624,0.095178391,-0.7286903099,-1.3595610166,0.4373515763,1.5557213591,"ds1_2","ds2_2",87.0482798497,11.2460248627,78.6932639491,95.2876553917
"ENSG00000108468",-1.1588291191,-0.79513341,-0.3410268746,0.7766238199,1.5183655838,-1.3324396769,-0.2391245456,-0.7242669174,1.2089117992,1.0869193407,"ds1_2","ds2_2",49.8409945071,59.7282451576,37.0049147152,19.0517490604
"ENSG00000108479",0.0754783448,-0.8929133006,-1.0149955072,0.0536921082,1.7787383548,0.9344442892,-0.9123788514,-1.3459724201,0.1113301636,1.2125768186,"ds1_2","ds2_2",31.3096270598,16.3920208153,17.8086152067,62.2723330442
"ENSG00000108669",-1.3386790931,-0.6057009656,-0.1311759072,0.4590331242,1.6165228418,-1.6295650548,-0.613389924,0.341048251,0.803759575,1.0981471528,"ds1_2","ds2_2",83.434518647,85.5160450997,83.7814397225,38.3636889274
"ENSG00000108774",-1.1205453802,-0.6618478631,-0.383895621,0.4457450725,1.7205437918,-1.1937457421,-0.0527353868,-0.8833318596,1.5766990427,0.5531139458,"ds1_2","ds2_2",80.3700491472,26.0479907488,74.9060422087,76.4960971379
"ENSG00000108819",-0.8531282844,-0.7776060072,-0.5537263595,0.3940348019,1.7904258492,-1.394037992,0.3962180102,-0.9024685194,1.324090599,0.5761979021,"ds1_2","ds2_2",71.4657415438,43.9433362243,41.9774501301,31.9456490315
"ENSG00000108946",-1.172488728,-0.7905720506,-0.2416412262,0.5966237693,1.6080782355,-0.9681068874,-1.122930038,-0.1068220807,0.665862463,1.531996543,"ds1_2","ds2_2",91.5004336513,63.4287366291,92.8881179532,82.1046545244
"ENSG00000109062",-1.751604581,-0.3599493297,0.2455794601,0.9562065674,0.9097678832,-1.7348428894,-0.4532106016,0.3838986823,0.9729816157,0.831173193,"ds1_2","ds2_2",68.3434518647,64.9031511998,75.3396935531,87.3084706563
"ENSG00000109133",-1.0653489827,-0.7801038059,-0.4514605076,0.6930734785,1.6038398176,-0.5170244281,-0.8087597387,0.0304358165,1.920211682,-0.6248633316,"ds1_2","ds2_2",68.7481931194,9.540329575,54.2353281295,63.1974559121
